Date,Resource_ID,Resource_Name,Resource_Type,Quantity_Used,Lab_Department,Usage_Frequency,Reorder_Level,Max_Stock,Stock_Level
2025-04-21,R009,Gloves (Box),Consumable,19,Microbiology,High,50,400,298
2025-04-21,R004,Hydrochloric Acid 1M,Chemical,7,Microbiology,Medium,30,100,64
2025-04-21,R007,Centrifuge Tubes,Consumable,16,Pathology,High,25,250,175
2025-04-22,R008,Sodium Hydroxide 1M,Chemical,4,Biochemistry,Low,20,80,56
2025-04-22,R004,Hydrochloric Acid 1M,Chemical,1,General AI Lab,Medium,30,100,63
2025-04-22,R003,Pipette Tips (Box),Consumable,4,Analytical Chemistry,Medium,15,150,83
2025-04-22,R007,Centrifuge Tubes,Consumable,19,Pathology,High,25,250,156
2025-04-22,R005,Acetone,Chemical,16,Analytical Chemistry,High,40,300,220
2025-04-22,R007,Centrifuge Tubes,Consumable,2,Pathology,High,25,250,154
2025-04-22,R007,Centrifuge Tubes,Consumable,3,Biochemistry,High,25,250,151
2025-04-22,R004,Hydrochloric Acid 1M,Chemical,3,Pathology,Medium,30,100,60
2025-04-22,R002,Petri Dishes (Pack),Consumable,3,Pathology,High,20,200,105
2025-04-22,R009,Gloves (Box),Consumable,5,Microbiology,High,50,400,293
2025-04-22,R004,Hydrochloric Acid 1M,Chemical,2,Pathology,Medium,30,100,58
2025-04-22,R003,Pipette Tips (Box),Consumable,5,Pathology,Medium,15,150,78
2025-04-22,R008,Sodium Hydroxide 1M,Chemical,2,Pathology,Low,20,80,54
2025-04-22,R004,Hydrochloric Acid 1M,Chemical,4,General AI Lab,Medium,30,100,54
2025-04-22,R006,Microscope Slides,Consumable,2,Biochemistry,Medium,10,100,75
2025-04-22,R009,Gloves (Box),Consumable,2,Microbiology,High,50,400,291
2025-04-23,R006,Microscope Slides,Consumable,5,Biochemistry,Medium,10,100,70
2025-04-23,R009,Gloves (Box),Consumable,8,General AI Lab,High,50,400,283
2025-04-23,R010,Distilled Water (L),Chemical,11,Microbiology,Very High,100,1000,876
2025-04-23,R001,Ethanol 95%,Chemical,16,General AI Lab,High,50,500,436
2025-04-23,R008,Sodium Hydroxide 1M,Chemical,3,Microbiology,Low,20,80,51
2025-04-23,R007,Centrifuge Tubes,Consumable,6,Analytical Chemistry,High,25,250,145
2025-04-23,R010,Distilled Water (L),Chemical,41,General AI Lab,Very High,100,1000,835
2025-04-23,R006,Microscope Slides,Consumable,4,Analytical Chemistry,Medium,10,100,66
2025-04-23,R004,Hydrochloric Acid 1M,Chemical,10,General AI Lab,Medium,30,100,44
2025-04-23,R007,Centrifuge Tubes,Consumable,5,General AI Lab,High,25,250,140
2025-04-23,R002,Petri Dishes (Pack),Consumable,4,Biochemistry,High,20,200,101
2025-04-23,R009,Gloves (Box),Consumable,4,Biochemistry,High,50,400,279
2025-04-23,R009,Gloves (Box),Consumable,7,Microbiology,High,50,400,272
2025-04-23,R010,Distilled Water (L),Chemical,35,General AI Lab,Very High,100,1000,800
2025-04-23,R006,Microscope Slides,Consumable,1,Microbiology,Medium,10,100,65
2025-04-23,R001,Ethanol 95%,Chemical,4,Pathology,High,50,500,432
2025-04-24,R005,Acetone,Chemical,7,Pathology,High,40,300,213
2025-04-24,R009,Gloves (Box),Consumable,15,General AI Lab,High,50,400,257
2025-04-24,R001,Ethanol 95%,Chemical,5,Microbiology,High,50,500,427
2025-04-24,R003,Pipette Tips (Box),Consumable,9,Microbiology,Medium,15,150,69
2025-04-24,R001,Ethanol 95%,Chemical,13,Biochemistry,High,50,500,414
2025-04-24,R001,Ethanol 95%,Chemical,11,Analytical Chemistry,High,50,500,403
2025-04-24,R001,Ethanol 95%,Chemical,12,Biochemistry,High,50,500,391
2025-04-24,R004,Hydrochloric Acid 1M,Chemical,2,Analytical Chemistry,Medium,30,100,42
2025-04-24,R009,Gloves (Box),Consumable,15,General AI Lab,High,50,400,242
2025-04-24,R006,Microscope Slides,Consumable,10,General AI Lab,Medium,10,100,55
2025-04-24,R007,Centrifuge Tubes,Consumable,10,Microbiology,High,25,250,130
2025-04-24,R003,Pipette Tips (Box),Consumable,7,Biochemistry,Medium,15,150,62
2025-04-24,R005,Acetone,Chemical,18,Pathology,High,40,300,195
2025-04-24,R005,Acetone,Chemical,3,Microbiology,High,40,300,192
2025-04-24,R004,Hydrochloric Acid 1M,Chemical,6,Analytical Chemistry,Medium,30,100,36
2025-04-24,R003,Pipette Tips (Box),Consumable,8,General AI Lab,Medium,15,150,54
2025-04-24,R005,Acetone,Chemical,18,Microbiology,High,40,300,174
2025-04-24,R003,Pipette Tips (Box),Consumable,6,Microbiology,Medium,15,150,48
2025-04-24,R003,Pipette Tips (Box),Consumable,5,Microbiology,Medium,15,150,43
2025-04-24,R002,Petri Dishes (Pack),Consumable,19,Biochemistry,High,20,200,82
2025-04-24,R005,Acetone,Chemical,11,General AI Lab,High,40,300,163
2025-04-24,R004,Hydrochloric Acid 1M,Chemical,6,Biochemistry,Medium,30,100,30
2025-04-24,R009,Gloves (Box),Consumable,11,Microbiology,High,50,400,231
2025-04-25,R006,Microscope Slides,Consumable,7,Microbiology,Medium,10,100,54
2025-04-25,R001,Ethanol 95%,Chemical,21,Microbiology,High,50,500,376
2025-04-25,R010,Distilled Water (L),Chemical,23,Analytical Chemistry,Very High,100,1000,783
2025-04-25,R009,Gloves (Box),Consumable,11,Pathology,High,50,400,226
2025-04-25,R006,Microscope Slides,Consumable,13,General AI Lab,Medium,10,100,47
2025-04-25,R010,Distilled Water (L),Chemical,38,Analytical Chemistry,Very High,100,1000,751
2025-04-25,R005,Acetone,Chemical,9,Microbiology,High,40,300,160
2025-04-25,R005,Acetone,Chemical,13,General AI Lab,High,40,300,153
2025-04-25,R009,Gloves (Box),Consumable,20,General AI Lab,High,50,400,212
2025-04-25,R004,Hydrochloric Acid 1M,Chemical,10,Pathology,Medium,30,100,100
2025-04-25,R007,Centrifuge Tubes,Consumable,18,Analytical Chemistry,High,25,250,118
2025-04-25,R004,Hydrochloric Acid 1M,Chemical,7,Biochemistry,Medium,30,100,99
2025-04-25,R006,Microscope Slides,Consumable,11,Biochemistry,Medium,10,100,42
2025-04-25,R007,Centrifuge Tubes,Consumable,9,Pathology,High,25,250,115
2025-04-25,R005,Acetone,Chemical,13,Microbiology,High,40,300,146
2025-04-25,R006,Microscope Slides,Consumable,13,Biochemistry,Medium,10,100,35
2025-04-25,R007,Centrifuge Tubes,Consumable,8,Biochemistry,High,25,250,113
2025-04-25,R004,Hydrochloric Acid 1M,Chemical,9,Biochemistry,Medium,30,100,96
2025-04-25,R002,Petri Dishes (Pack),Consumable,16,Analytical Chemistry,High,20,200,72
2025-04-26,R004,Hydrochloric Acid 1M,Chemical,7,Pathology,Medium,30,100,89
2025-04-26,R005,Acetone,Chemical,19,Biochemistry,High,40,300,127
2025-04-26,R007,Centrifuge Tubes,Consumable,12,Pathology,High,25,250,101
2025-04-26,R007,Centrifuge Tubes,Consumable,4,Analytical Chemistry,High,25,250,97
2025-04-26,R010,Distilled Water (L),Chemical,25,Microbiology,Very High,100,1000,726
2025-04-26,R009,Gloves (Box),Consumable,8,Analytical Chemistry,High,50,400,204
2025-04-26,R005,Acetone,Chemical,18,Analytical Chemistry,High,40,300,109
2025-04-27,R003,Pipette Tips (Box),Consumable,10,General AI Lab,Medium,15,150,33
2025-04-27,R005,Acetone,Chemical,14,General AI Lab,High,40,300,95
2025-04-27,R001,Ethanol 95%,Chemical,11,Analytical Chemistry,High,50,500,365
2025-04-27,R004,Hydrochloric Acid 1M,Chemical,7,General AI Lab,Medium,30,100,82
2025-04-27,R010,Distilled Water (L),Chemical,46,Analytical Chemistry,Very High,100,1000,680
2025-04-27,R008,Sodium Hydroxide 1M,Chemical,4,Pathology,Low,20,80,47
2025-04-27,R004,Hydrochloric Acid 1M,Chemical,9,Pathology,Medium,30,100,73
2025-04-27,R003,Pipette Tips (Box),Consumable,2,Analytical Chemistry,Medium,15,150,31
2025-04-28,R009,Gloves (Box),Consumable,19,Biochemistry,High,50,400,188
2025-04-28,R008,Sodium Hydroxide 1M,Chemical,7,Analytical Chemistry,Low,20,80,43
2025-04-28,R004,Hydrochloric Acid 1M,Chemical,8,General AI Lab,Medium,30,100,68
2025-04-28,R008,Sodium Hydroxide 1M,Chemical,5,Analytical Chemistry,Low,20,80,41
2025-04-28,R008,Sodium Hydroxide 1M,Chemical,4,Analytical Chemistry,Low,20,80,40
2025-04-28,R002,Petri Dishes (Pack),Consumable,18,Pathology,High,20,200,57
2025-04-28,R006,Microscope Slides,Consumable,12,Microbiology,Medium,10,100,26
2025-04-28,R003,Pipette Tips (Box),Consumable,6,Biochemistry,Medium,15,150,28
2025-04-28,R007,Centrifuge Tubes,Consumable,9,Biochemistry,High,25,250,91
2025-04-28,R006,Microscope Slides,Consumable,12,Pathology,Medium,10,100,17
2025-04-28,R004,Hydrochloric Acid 1M,Chemical,8,Analytical Chemistry,Medium,30,100,63
2025-04-28,R009,Gloves (Box),Consumable,15,Pathology,High,50,400,176
2025-04-28,R010,Distilled Water (L),Chemical,40,Pathology,Very High,100,1000,643
2025-04-28,R004,Hydrochloric Acid 1M,Chemical,5,Pathology,Medium,30,100,61
2025-04-28,R003,Pipette Tips (Box),Consumable,11,General AI Lab,Medium,15,150,20
2025-04-28,R002,Petri Dishes (Pack),Consumable,12,Analytical Chemistry,High,20,200,48
2025-04-28,R004,Hydrochloric Acid 1M,Chemical,7,Biochemistry,Medium,30,100,57
2025-04-28,R008,Sodium Hydroxide 1M,Chemical,8,Microbiology,Low,20,80,35
2025-04-28,R008,Sodium Hydroxide 1M,Chemical,7,General AI Lab,Low,20,80,31
2025-04-28,R001,Ethanol 95%,Chemical,6,Biochemistry,High,50,500,362
2025-04-28,R007,Centrifuge Tubes,Consumable,12,Biochemistry,High,25,250,82
2025-04-28,R001,Ethanol 95%,Chemical,8,Pathology,High,50,500,357
2025-04-28,R004,Hydrochloric Acid 1M,Chemical,6,General AI Lab,Medium,30,100,54
2025-04-28,R008,Sodium Hydroxide 1M,Chemical,4,General AI Lab,Low,20,80,30
2025-04-28,R004,Hydrochloric Acid 1M,Chemical,10,Pathology,Medium,30,100,47
2025-04-29,R002,Petri Dishes (Pack),Consumable,3,Microbiology,High,20,200,45
2025-04-29,R006,Microscope Slides,Consumable,7,Analytical Chemistry,Medium,10,100,10
2025-04-29,R007,Centrifuge Tubes,Consumable,10,Microbiology,High,25,250,72
2025-04-29,R008,Sodium Hydroxide 1M,Chemical,1,General AI Lab,Low,20,80,29
2025-04-29,R001,Ethanol 95%,Chemical,13,Biochemistry,High,50,500,344
2025-04-29,R004,Hydrochloric Acid 1M,Chemical,4,Microbiology,Medium,30,100,43
2025-04-29,R003,Pipette Tips (Box),Consumable,5,Microbiology,Medium,15,150,15
2025-04-29,R003,Pipette Tips (Box),Consumable,8,Microbiology,Medium,15,150,150
2025-04-29,R010,Distilled Water (L),Chemical,18,Pathology,Very High,100,1000,625
2025-04-29,R005,Acetone,Chemical,13,Biochemistry,High,40,300,82
2025-04-29,R010,Distilled Water (L),Chemical,43,Microbiology,Very High,100,1000,582
2025-04-29,R004,Hydrochloric Acid 1M,Chemical,8,Analytical Chemistry,Medium,30,100,35
2025-04-29,R010,Distilled Water (L),Chemical,14,Biochemistry,Very High,100,1000,568
2025-04-29,R005,Acetone,Chemical,14,Analytical Chemistry,High,40,300,68
2025-04-29,R010,Distilled Water (L),Chemical,41,Microbiology,Very High,100,1000,527
2025-04-29,R002,Petri Dishes (Pack),Consumable,15,Biochemistry,High,20,200,30
2025-04-29,R001,Ethanol 95%,Chemical,8,Pathology,High,50,500,336
2025-04-29,R007,Centrifuge Tubes,Consumable,20,Microbiology,High,25,250,52
2025-04-29,R010,Distilled Water (L),Chemical,29,Pathology,Very High,100,1000,498
2025-04-29,R001,Ethanol 95%,Chemical,13,Analytical Chemistry,High,50,500,323
2025-04-29,R007,Centrifuge Tubes,Consumable,15,General AI Lab,High,25,250,37
2025-04-29,R009,Gloves (Box),Consumable,9,Pathology,High,50,400,167
2025-04-29,R008,Sodium Hydroxide 1M,Chemical,2,Microbiology,Low,20,80,27
2025-04-29,R008,Sodium Hydroxide 1M,Chemical,1,Pathology,Low,20,80,26
2025-04-29,R006,Microscope Slides,Consumable,7,Biochemistry,Medium,10,100,100
2025-04-29,R008,Sodium Hydroxide 1M,Chemical,2,General AI Lab,Low,20,80,24
2025-04-29,R009,Gloves (Box),Consumable,2,Pathology,High,50,400,165
2025-04-29,R004,Hydrochloric Acid 1M,Chemical,5,Pathology,Medium,30,100,30
2025-04-30,R002,Petri Dishes (Pack),Consumable,10,Pathology,High,20,200,20
2025-04-30,R005,Acetone,Chemical,12,Biochemistry,High,40,300,56
2025-04-30,R008,Sodium Hydroxide 1M,Chemical,4,General AI Lab,Low,20,80,20
2025-04-30,R005,Acetone,Chemical,19,Pathology,High,40,300,300
2025-04-30,R007,Centrifuge Tubes,Consumable,7,General AI Lab,High,25,250,30
2025-04-30,R008,Sodium Hydroxide 1M,Chemical,1,Pathology,Low,20,80,80
2025-04-30,R006,Microscope Slides,Consumable,1,Pathology,Medium,10,100,99
2025-04-30,R006,Microscope Slides,Consumable,8,Biochemistry,Medium,10,100,91
2025-04-30,R006,Microscope Slides,Consumable,9,Pathology,Medium,10,100,82
2025-04-30,R002,Petri Dishes (Pack),Consumable,20,Microbiology,High,20,200,200
2025-04-30,R002,Petri Dishes (Pack),Consumable,11,General AI Lab,High,20,200,189
2025-04-30,R010,Distilled Water (L),Chemical,49,Biochemistry,Very High,100,1000,449
2025-04-30,R007,Centrifuge Tubes,Consumable,8,Microbiology,High,25,250,250
2025-04-30,R005,Acetone,Chemical,20,Pathology,High,40,300,280
2025-04-30,R006,Microscope Slides,Consumable,2,General AI Lab,Medium,10,100,80
2025-05-01,R006,Microscope Slides,Consumable,8,General AI Lab,Medium,10,100,72
2025-05-01,R009,Gloves (Box),Consumable,13,Pathology,High,50,400,152
2025-05-01,R009,Gloves (Box),Consumable,12,Analytical Chemistry,High,50,400,140
2025-05-01,R008,Sodium Hydroxide 1M,Chemical,3,Analytical Chemistry,Low,20,80,77
2025-05-01,R009,Gloves (Box),Consumable,7,Biochemistry,High,50,400,133
2025-05-01,R004,Hydrochloric Acid 1M,Chemical,6,Microbiology,Medium,30,100,100
2025-05-01,R010,Distilled Water (L),Chemical,38,General AI Lab,Very High,100,1000,411
2025-05-01,R004,Hydrochloric Acid 1M,Chemical,5,General AI Lab,Medium,30,100,95
2025-05-01,R005,Acetone,Chemical,9,Microbiology,High,40,300,271
2025-05-01,R005,Acetone,Chemical,9,Pathology,High,40,300,262
2025-05-01,R004,Hydrochloric Acid 1M,Chemical,8,Analytical Chemistry,Medium,30,100,87
2025-05-01,R004,Hydrochloric Acid 1M,Chemical,8,Pathology,Medium,30,100,79
2025-05-01,R008,Sodium Hydroxide 1M,Chemical,1,Microbiology,Low,20,80,76
2025-05-01,R007,Centrifuge Tubes,Consumable,12,Microbiology,High,25,250,238
2025-05-01,R008,Sodium Hydroxide 1M,Chemical,3,Biochemistry,Low,20,80,73
2025-05-01,R008,Sodium Hydroxide 1M,Chemical,2,Analytical Chemistry,Low,20,80,71
2025-05-01,R008,Sodium Hydroxide 1M,Chemical,5,General AI Lab,Low,20,80,66
2025-05-01,R010,Distilled Water (L),Chemical,49,Analytical Chemistry,Very High,100,1000,362
2025-05-01,R009,Gloves (Box),Consumable,2,General AI Lab,High,50,400,131
2025-05-01,R004,Hydrochloric Acid 1M,Chemical,2,Biochemistry,Medium,30,100,77
2025-05-01,R007,Centrifuge Tubes,Consumable,17,General AI Lab,High,25,250,221
2025-05-01,R005,Acetone,Chemical,12,Analytical Chemistry,High,40,300,250
2025-05-02,R009,Gloves (Box),Consumable,10,Biochemistry,High,50,400,127
2025-05-02,R005,Acetone,Chemical,10,Biochemistry,High,40,300,246
2025-05-02,R003,Pipette Tips (Box),Consumable,10,Biochemistry,Medium,15,150,146
2025-05-02,R004,Hydrochloric Acid 1M,Chemical,11,Microbiology,Medium,30,100,72
2025-05-02,R010,Distilled Water (L),Chemical,17,Biochemistry,Very High,100,1000,351
2025-05-02,R010,Distilled Water (L),Chemical,50,Microbiology,Very High,100,1000,307
2025-05-02,R008,Sodium Hydroxide 1M,Chemical,10,Analytical Chemistry,Low,20,80,62
2025-05-02,R004,Hydrochloric Acid 1M,Chemical,15,Pathology,Medium,30,100,63
2025-05-02,R010,Distilled Water (L),Chemical,49,General AI Lab,Very High,100,1000,264
2025-05-02,R002,Petri Dishes (Pack),Consumable,25,Pathology,High,20,200,170
2025-05-02,R003,Pipette Tips (Box),Consumable,9,General AI Lab,Medium,15,150,143
2025-05-02,R010,Distilled Water (L),Chemical,38,Analytical Chemistry,Very High,100,1000,232
2025-05-02,R002,Petri Dishes (Pack),Consumable,20,Pathology,High,20,200,156
2025-05-02,R002,Petri Dishes (Pack),Consumable,26,Microbiology,High,20,200,136
2025-05-02,R002,Petri Dishes (Pack),Consumable,14,Analytical Chemistry,High,20,200,128
2025-05-02,R004,Hydrochloric Acid 1M,Chemical,12,Biochemistry,Medium,30,100,57
2025-05-02,R003,Pipette Tips (Box),Consumable,11,Microbiology,Medium,15,150,138
2025-05-02,R001,Ethanol 95%,Chemical,25,Analytical Chemistry,High,50,500,304
2025-05-02,R005,Acetone,Chemical,8,General AI Lab,High,40,300,244
2025-05-02,R001,Ethanol 95%,Chemical,26,Analytical Chemistry,High,50,500,284
2025-05-02,R008,Sodium Hydroxide 1M,Chemical,10,Pathology,Low,20,80,58
2025-05-02,R006,Microscope Slides,Consumable,9,Microbiology,Medium,10,100,69
2025-05-02,R003,Pipette Tips (Box),Consumable,14,Microbiology,Medium,15,150,130
2025-05-02,R005,Acetone,Chemical,23,Microbiology,High,40,300,227
2025-05-03,R007,Centrifuge Tubes,Consumable,16,General AI Lab,High,25,250,205
2025-05-03,R008,Sodium Hydroxide 1M,Chemical,3,Microbiology,Low,20,80,55
2025-05-03,R004,Hydrochloric Acid 1M,Chemical,5,Analytical Chemistry,Medium,30,100,52
2025-05-04,R002,Petri Dishes (Pack),Consumable,16,Analytical Chemistry,High,20,200,112
2025-05-04,R003,Pipette Tips (Box),Consumable,5,General AI Lab,Medium,15,150,125
2025-05-04,R003,Pipette Tips (Box),Consumable,2,Microbiology,Medium,15,150,123
2025-05-04,R010,Distilled Water (L),Chemical,23,Pathology,Very High,100,1000,209
2025-05-04,R005,Acetone,Chemical,20,Biochemistry,High,40,300,207
2025-05-04,R004,Hydrochloric Acid 1M,Chemical,3,Analytical Chemistry,Medium,30,100,49
2025-05-04,R007,Centrifuge Tubes,Consumable,5,General AI Lab,High,25,250,200
2025-05-04,R008,Sodium Hydroxide 1M,Chemical,1,Biochemistry,Low,20,80,54
2025-05-05,R009,Gloves (Box),Consumable,5,General AI Lab,High,50,400,125
2025-05-05,R004,Hydrochloric Acid 1M,Chemical,6,Analytical Chemistry,Medium,30,100,46
2025-05-05,R002,Petri Dishes (Pack),Consumable,5,General AI Lab,High,20,200,110
2025-05-05,R005,Acetone,Chemical,19,Pathology,High,40,300,191
2025-05-05,R005,Acetone,Chemical,22,Biochemistry,High,40,300,172
2025-05-05,R006,Microscope Slides,Consumable,13,Pathology,Medium,10,100,59
2025-05-05,R001,Ethanol 95%,Chemical,11,General AI Lab,High,50,500,276
2025-05-05,R009,Gloves (Box),Consumable,19,Pathology,High,50,400,109
2025-05-05,R007,Centrifuge Tubes,Consumable,21,Microbiology,High,25,250,182
2025-05-05,R005,Acetone,Chemical,15,Microbiology,High,40,300,160
2025-05-05,R008,Sodium Hydroxide 1M,Chemical,4,Analytical Chemistry,Low,20,80,53
2025-05-05,R007,Centrifuge Tubes,Consumable,22,Microbiology,High,25,250,163
2025-05-05,R008,Sodium Hydroxide 1M,Chemical,4,Biochemistry,Low,20,80,52
2025-05-05,R002,Petri Dishes (Pack),Consumable,10,Analytical Chemistry,High,20,200,103
2025-05-05,R007,Centrifuge Tubes,Consumable,15,Analytical Chemistry,High,25,250,151
2025-05-05,R005,Acetone,Chemical,21,General AI Lab,High,40,300,142
2025-05-05,R008,Sodium Hydroxide 1M,Chemical,7,Microbiology,Low,20,80,48
2025-05-05,R010,Distilled Water (L),Chemical,10,Pathology,Very High,100,1000,202
2025-05-05,R006,Microscope Slides,Consumable,13,Analytical Chemistry,Medium,10,100,49
2025-05-05,R001,Ethanol 95%,Chemical,7,Biochemistry,High,50,500,272
2025-05-05,R007,Centrifuge Tubes,Consumable,20,Analytical Chemistry,High,25,250,134
2025-05-05,R005,Acetone,Chemical,23,Microbiology,High,40,300,122
2025-05-05,R002,Petri Dishes (Pack),Consumable,20,Analytical Chemistry,High,20,200,86
2025-05-05,R010,Distilled Water (L),Chemical,35,Pathology,Very High,100,1000,170
2025-05-05,R010,Distilled Water (L),Chemical,45,Microbiology,Very High,100,1000,128
2025-05-05,R003,Pipette Tips (Box),Consumable,11,General AI Lab,Medium,15,150,115
2025-05-05,R008,Sodium Hydroxide 1M,Chemical,6,Biochemistry,Low,20,80,45
2025-05-06,R007,Centrifuge Tubes,Consumable,12,Pathology,High,25,250,122
2025-05-06,R002,Petri Dishes (Pack),Consumable,12,General AI Lab,High,20,200,74
2025-05-06,R006,Microscope Slides,Consumable,10,Pathology,Medium,10,100,39
2025-05-06,R002,Petri Dishes (Pack),Consumable,17,Analytical Chemistry,High,20,200,57
2025-05-06,R004,Hydrochloric Acid 1M,Chemical,4,General AI Lab,Medium,30,100,42
